,Date,Name,Text,Hashtags
63,2020-07-12 05:30:33+00:00,realDailyWire,Vermont City Council Rejects American Flag Art After Pushing Through ‘Emergency’ BLM Street Mural http://dlvr.it/RbRZd3,
64,2020-07-11 18:07:33+00:00,realDailyWire,Vermont City Council Rejects American Flag Art After Pushing Through ‘Emergency’ BLM Street Mural http://dlvr.it/RbQTbv,
65,2020-07-11 10:03:02+00:00,realDailyWire,'A Sign Of The Times’: Black Pastor Laments ‘BLM’ Vandalism Of Escaped Slave Statue http://dlvr.it/RbPPgY,
66,2020-07-10 21:58:32+00:00,realDailyWire,‘A Sign Of The Times’: Black Pastor Laments ‘BLM’ Vandalism Of Escaped Slave Statue http://dlvr.it/RbN7WG,
67,2020-07-09 16:42:06+00:00,realDailyWire, WATCH: Terry Crews And Don Lemon SPAR Over BLM's Agenda ,
68,2020-07-07 20:06:02+00:00,realDailyWire, Don Lemon Says BLM Is NOT About ALL Black Lives; Shapiro Responds ,
69,2020-07-07 19:46:32+00:00,realDailyWire, Mic DROP: Kayleigh McEnany SMACKS DOWN Media Over BLM Coverage ,
70,2020-07-07 18:34:03+00:00,realDailyWire,WALSH: Here Are All Of The Far-Left Issues The BLM Org Cares About More Than Defending ‘All Black Lives’ http://dlvr.it/Rb89r9,
71,2020-07-07 18:03:06+00:00,realDailyWire, The BLM Fraud | The Matt Walsh Show Ep. 515 ,
72,2020-07-07 06:32:33+00:00,realDailyWire,Atlanta Mayor Orders BLM ‘Occupied Zone’ At Burned-Down Wendy’s Cleared After 8-Year-Old Killed http://dlvr.it/Rb5r6b,
73,2020-07-06 19:31:02+00:00,realDailyWire,University Of Memphis Football First Division I Team To Announce Wearing ‘BLM’ On Helmets http://dlvr.it/Rb4VnR,
74,2020-07-06 15:23:33+00:00,realDailyWire,Atlanta Mayor Orders BLM ‘Occupied Zone’ At Burned-Down Wendy’s Cleared After 8-Year-Old Killed http://dlvr.it/Rb3jRg,
75,2020-07-04 07:31:06+00:00,realDailyWire,WATCH: Press Secretary Shuts Down Reporter Outraged Over Trump’s BLM ‘Symbol Of Hate’ Comment http://dlvr.it/RZwqRr,
76,2020-07-03 12:04:03+00:00,realDailyWire,WATCH: Press Secretary Shuts Down Reporter Outraged Over Trump’s BLM ‘Symbol Of Hate’ Comment http://dlvr.it/RZtDVC,
77,2020-07-01 19:38:32+00:00,realDailyWire,BLM Protester Will Be Charged With Attempted Murder After Shooting At Driver During Utah Protest http://dlvr.it/RZm6s3,
78,2020-06-30 20:08:05+00:00,realDailyWire,Catholic Archdiocese Defends St. Louis IX Statue After BLM Mob Desecrates It http://dlvr.it/RZhJkK,
79,2020-06-30 11:02:33+00:00,realDailyWire,"INTERVIEW: Coleman Hughes On Police Reform, BLM, And Why Data Matters http://dlvr.it/RZfW8z",
80,2020-06-29 06:00:33+00:00,realDailyWire,"WATCH: BLM Activists Storm Target Store, Threaten To ‘Shut Your Business Down’ If You Call ‘The Police’ http://dlvr.it/RZYypP",
81,2020-06-28 13:04:03+00:00,realDailyWire,"WATCH: BLM Activists Storm Target Store, Threaten To ‘Shut Your Business Down’ If You Call ‘The Police’ http://dlvr.it/RZX2bj",
82,2020-06-24 22:16:32+00:00,realDailyWire, Karl Marx Was A Racist – so why does BLM like him? ,
83,2020-06-24 01:58:03+00:00,realDailyWire,Man In BLM Mask Declares They’re Destroying Slave-Bought Lincoln Emancipation Memorial: ‘We Tearing This Motherf****r Down!’ http://dlvr.it/RZDyp7,
84,2020-06-23 10:30:32+00:00,realDailyWire,"‘TEAR THEM DOWN’: BLM Activist Shaun King Calls For Destruction Of Jesus Christ Statues, Churches For ‘White Supremacy,’ ‘Oppression,’ ‘Racist Propaganda’ http://dlvr.it/RZBLZ3",
85,2020-06-23 02:35:33+00:00,realDailyWire,"White Activists Pretend To Be Slaves At Black Lives Matter Protest. BLM Protester: ‘Put That S*** Down, Sister!’ http://dlvr.it/RZ9D2n",
86,2020-06-23 01:46:03+00:00,realDailyWire,"‘TEAR THEM DOWN’: BLM Activist Shaun King Calls For Destruction Of Jesus Christ Statues, Churches For ‘White Supremacy,’ ‘Oppression,’ ‘Racist Propaganda’ http://dlvr.it/RZ97Bd",
87,2020-06-17 20:39:35+00:00,realDailyWire,‘Completely Different’: Host Of ‘The View’ Says Trump Rally ‘10 Times Worse’ Health Risk Than BLM Protests http://dlvr.it/RYrJB3,
88,2020-06-11 16:55:03+00:00,realDailyWire,"U.S. Soccer Reverses Course On Kneeling During National Anthem; Issues Apology, Support For BLM http://dlvr.it/RYRfLp",
89,2020-06-09 07:32:32+00:00,realDailyWire,WATCH: London Police Run Away As BLM Protest Turns Violent Over Arrest Of Black Man http://dlvr.it/RYGN2j,
90,2020-06-08 16:14:33+00:00,realDailyWire,WATCH: London Police Run Away As BLM Protest Turns Violent Over Arrest Of Black Man http://dlvr.it/RYDHtV,
91,2020-06-08 15:49:06+00:00,realDailyWire,"WATCH: Georgia Trooper Refuses To Kneel When Asked By BLM Activists, But His Response Leaves Them Thanking Him http://dlvr.it/RYDCYt",
92,2020-06-06 19:41:33+00:00,realDailyWire,KHAN: David Dorn’s Murder Exposes A Massive Blind Spot Among The BLM Protests http://dlvr.it/RY6xfc,
93,2020-06-05 10:01:06+00:00,realDailyWire,WATCH: Girls Cleaning ‘BLM’ Graffiti Off Govt Building Scolded For Misusing ‘White Privilege’ http://dlvr.it/RY2Hgb,
94,2020-06-04 16:17:02+00:00,realDailyWire,WATCH: Girls Cleaning ‘BLM’ Graffiti Off Govt Building Scolded For Misusing ‘White Privilege’ http://dlvr.it/RXzpcx,
95,2020-07-10 23:31:00+00:00,CNN,"""He's been exposed to the Black experience in America. And... to participate in some type of protest... is a very powerful statement from someone with such a global reach."" @dcunited's Earl Edwards Jr. responds to Thierry Henry kneeling for 8:46 in support of the BLM movement ",
96,2020-07-10 04:55:00+00:00,CNN,"WNBA player Layshia Clarendon reacts to Sen. Kelly Loeffler objecting to the league's support of the BLM movement. ""It was really hurtful to hear that, having played for her, having shared space with her, having had dinner at her house and her to do that as a woman was like, wow"" ",
97,2020-06-08 12:43:45+00:00,MSNBC,"DC Mayor Bowser discusses why she had ""Black Lives Matter"" painted on the street that leads to the White House: ""The BLM mural is a representation of an expression of our saying no, but also identifying and claiming a part of our city that had been taken over by federal forces."" ",
98,2020-07-05 02:30:00+00:00,BlazeTV,"The BLM movement has sent leftists on a witch hunt like we’ve never seen. They accuse anyone and everyone who isn’t on board with defunding the police, destroying property, and every other item in the socialist’s handbook of being a racist. @WilkowMajority discusses.",
